Id,Probability
1,0.05
2,0.01
3,0.0
4,0.04
5,0.12
6,0.04
7,0.24
8,0.15
9,0.0
10,0.9202184138703221
11,0.0
12,0.21
13,0.0
14,0.09
15,0.05
16,0.0
17,0.07
18,0.0
19,0.66
20,0.11
21,0.03
22,0.08
23,0.0
24,0.78
25,0.07
26,0.01
27,0.51
28,0.0
29,0.04
30,0.07
31,0.15
32,0.0
33,0.01
34,0.17
35,0.53
36,0.16
37,0.04
38,0.01
39,0.0
40,0.07
41,0.38
42,0.67
43,0.1
44,0.0
45,0.0
46,0.0
47,0.0
48,0.04
49,0.0
50,0.02
51,0.04
52,0.11
53,0.01
54,0.01
55,0.0
56,0.0
57,0.01
58,0.51
59,0.14
60,0.16
61,0.02
62,0.01
63,0.02
64,0.0
65,0.01
66,0.01
67,0.11
68,0.4
69,0.0
70,0.99
71,0.0
72,0.06
73,0.02
74,0.49
75,0.0
76,0.04
77,0.3
78,0.07
79,0.25
80,0.05
81,0.0
82,0.0
83,0.04
84,0.01
85,0.06
86,0.0
87,0.26
88,0.0
89,0.22
90,0.0
91,0.13
92,0.0
93,0.02
94,0.09
95,0.23
96,0.13
97,0.06
98,0.18
99,0.0
100,0.02
101,0.12
102,0.11
103,0.0
104,0.03
105,0.38
106,0.02
107,0.51
108,0.08
109,0.0
110,0.13
111,0.0
112,0.15
113,0.1
114,0.95
115,0.31
116,0.01
117,0.0
118,0.35
119,0.0
120,0.01
121,0.01
122,0.15
123,0.02
124,0.77
125,0.0
126,0.05
127,0.01
128,0.0
129,0.0
130,0.64
131,0.02
132,0.39
133,0.0
134,0.62
135,0.25
136,0.04
137,0.47
138,0.19
139,0.0
140,0.06
141,0.01
142,0.0
143,0.0
144,0.0
145,0.43
146,0.0
147,0.0
148,0.18
149,0.0
150,0.15
151,0.0
152,0.0
153,0.01
154,0.01
155,0.0
156,0.07
157,0.13
158,0.0
159,0.16
160,0.0
161,0.01
162,0.04
163,0.01
164,0.27
165,0.34
166,0.01
167,0.9
168,0.11
169,0.35
170,0.0
171,0.0
172,0.0
173,0.0
174,0.06
175,0.01
176,0.95
177,0.14
178,0.3
179,0.01
180,0.16
181,0.13
182,0.02
183,0.12
184,0.01
185,0.35
186,0.0
187,0.0
188,0.04
189,0.37
190,0.06
191,0.29
192,0.11
193,0.03
194,0.15
195,0.0
196,0.05
197,0.11
198,0.01
199,0.0
200,0.0
201,0.2
202,0.13
203,0.41
204,0.15
205,0.25
206,0.0
207,0.08
208,0.04
209,0.04
210,0.0
211,0.01
212,0.0
213,0.07
214,0.17
215,0.0
216,0.05
217,0.01
218,0.46
219,0.01
220,0.0
221,0.0
222,0.05
223,0.01
224,0.03
225,0.23
226,0.08
227,0.0
228,0.13
229,0.39
230,0.39
231,0.65
232,0.03
233,0.27
234,0.17
235,0.0
236,0.58
237,0.2
238,0.0
239,0.0
240,0.05
241,0.0
242,0.08
243,0.0
244,0.01
245,0.09
246,0.0
247,0.02
248,0.0
249,0.04
250,0.67
251,0.007857142857142858
252,0.39
253,0.0
254,0.41
255,0.0
256,0.0
257,0.18
258,0.07
259,0.01
260,0.37
261,0.0
262,0.04
263,0.04
264,0.0
265,0.17
266,0.0
267,0.1
268,0.19
269,0.36
270,0.0
271,0.02
272,0.04
273,0.0
274,0.05
275,0.02
276,0.01
277,0.05
278,0.03
279,0.12
280,0.02
281,0.53
282,0.01
283,0.22
284,0.01
285,0.0
286,0.0
287,0.04
288,0.03
289,0.25
290,0.08
291,0.15
292,0.04
293,0.05
294,0.0
295,0.01
296,0.09
297,0.0
298,0.09
299,0.0
300,0.0
301,0.12
302,0.0
303,0.03
304,0.0
305,0.52
306,0.09
307,0.0
308,0.2974458751366985
309,0.4
310,0.05
311,0.86
312,0.02
313,0.23
314,0.02
315,0.07
316,0.25
317,0.63
318,0.0
319,0.0
320,0.35
321,0.33
322,0.0
323,0.16
324,0.01
325,0.14
326,0.03
327,0.01
328,0.04
329,0.01
330,0.0
331,0.0
332,0.04
333,0.0
334,0.16
335,0.12
336,0.06
337,0.0
338,0.66
339,0.04
340,0.0
341,0.0
342,0.29
343,0.0
344,0.1
345,0.17
346,0.0
347,0.31
348,0.23
349,0.05
350,0.0
351,0.12
352,0.03
353,0.0
354,0.14
355,0.01
356,0.0
357,0.89
358,0.0
359,0.0
360,0.11
361,0.15
362,0.02
363,0.0
364,0.02
365,0.12
366,0.11
367,0.0
368,0.09
369,0.04
370,0.72
371,0.0
372,0.49
373,0.01
374,0.02
375,0.33
376,0.18
377,0.02
378,0.37
379,0.03
380,0.05
381,0.01
382,0.0
383,0.04
384,0.17
385,0.0
386,0.0
387,0.0
388,0.08
389,0.01
390,0.02
391,0.09
392,0.12
393,0.23
394,0.27
395,0.0
396,0.0
397,0.55
398,0.12
399,0.05
400,0.08
401,0.01
402,0.0
403,0.02
404,0.0
405,0.69
406,0.86
407,0.04
408,0.0
409,0.12
410,0.01
411,0.03
412,0.03
413,0.29
414,0.02
415,0.0
416,0.67
417,0.42
418,0.01
419,0.02
420,0.01
421,0.06
422,0.0
423,0.05
424,0.0
425,0.0
426,0.0
427,0.0
428,0.02
429,0.25
430,0.0
431,0.38
432,0.0
433,0.0
434,0.0
435,0.15
436,0.02
437,0.06
438,0.06
439,0.0
440,0.22
441,0.03
442,0.01
443,0.16
444,0.0
445,0.08
446,0.08
447,0.01
448,0.01
449,0.06
450,0.0
451,0.01
452,0.0
453,0.19
454,0.0
455,0.02
456,0.03
457,0.01
458,0.0
459,0.22
460,0.01
461,0.03
462,0.33
463,0.01
464,0.12
465,0.02
466,0.0
467,0.0
468,0.0
469,0.01
470,0.42
471,0.0
472,0.01
473,0.3
474,0.33
475,0.0
476,0.02
477,0.0
478,0.03
479,0.01
480,0.0
481,0.12
482,0.0
483,0.2
